商品名,製品重量 g/個,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,ナトリウム mg,カリウム mg,カルシウム mg,リン mg,鉄 mg,ビタミンA μg,ビタミンB1 mg,ビタミンB2 mg,ナイアシン mg,ビタミンC mg,コレステロール mg,食物繊維 mg,食塩相当量 g,備考
プチパンケーキ,56,161,3.8,4.4,26.4,318,112,60,100,1.4,17,0.10,0.24,0.7,0,11,1.3,0.8,4
ベーコンポテトパイ,76,227,3.7,13.1,23.7,386,102,16,48,0.3,5,0.08,0.02,0.7,1,5,1.1,1.0,
ホットアップルパイ,81,211,1.9,10.7,26.8,217,55,5,23,0.3,1,0.05,0.00,0.3,0,2,1.0,0.6,
ポテナゲ大,370,1035,37.3,58.3,90.5,1346,1635,38,710,2.2,32,0.49,0.21,21.0,22,129,7.8,3.4,5
ポテナゲ特大,640,1811,59.3,100.4,167.8,2226,3017,69,1189,3.9,48,0.88,0.34,34.6,43,200,14.7,5.7,6
マスタードソース,20,44,0.4,2.3,5.2,182,14,5,11,0.1,1,0.01,0.00,0.1,0,2,0.3,0.5,
マックフライポテト®(L),170,517,6.7,25.9,64.3,415,1130,22,249,1.3,0,0.31,0.03,6.3,20,11,6.0,1.1,
マックフライポテト®(M),135,410,5.3,20.6,51.0,329,897,18,198,1.0,0,0.24,0.03,5.0,16,9,4.8,0.8,
マックフライポテト®(S),74,225,2.9,11.3,28.0,181,492,10,108,0.6,0,0.13,0.01,2.7,9,5,2.6,0.5,
マックフルーリー® オレオ® クッキー,141,235,5.9,7.0,37.7,155,280,174,187,0.5,61,0.07,0.29,0.3,0,17,0.7,0.4,
マックフルーリー® 超 オレオ® クッキー,163,337,8.0,10.6,53.4,268,347,181,218,1.5,61,0.09,0.30,0.6,0,17,1.7,0.7,
ヨーグルト,70,59,3.2,0.8,9.7,37,118,89,70,0.0,10,0.03,0.13,0.1,0,4,0.1,0.1,
ワッフルコーン ストロベリー,141,257,5.4,5.5,46.8,135,235,143,154,0.2,47,0.07,0.23,0.4,3,14,1.0,0.3,
ワッフルコーン チョコ&アーモンド,131,295,5.9,10.7,44.1,118,253,144,167,0.4,47,0.07,0.26,0.4,0,14,1.1,0.3,
ワッフルコーン プレーン,121,232,5.3,5.5,40.6,118,215,136,151,0.1,47,0.07,0.23,0.3,0,14,0.7,0.3,
喫茶店のコーヒーゼリーパフェ,193,328,6.9,6.4,61.0,167,369,198,207,0.1,70,0.07,0.33,1.3,0,20,1.7,0.4,
喫茶店のプリンパイ,76,287,3.2,17.2,29.9,223,54,7,27,0.4,8,0.03,0.01,0.2,0,5,0.9,0.6,
焼きとうもろこし風ソース,21,30,0.4,0.2,6.6,353,21,3,7,0.1,0,0.01,0.00,0.1,0,0,0.1,0.9,
低カロリー玉ねぎ,20,7,0.4,0.0,1.2,384,30,3,9,0.1,0,0.01,0.01,0.1,0,0,0.1,1.0,
焙煎ごまドレッシング,21,84,0.5,7.8,3.0,268,19,10,10,0.1,0,0.00,0.01,0.1,0,1,0.2,0.7,
Qoo すっきり白ブドウ(L),540,189,0.4,0.4,45.8,11,21,8,6,0.4,0,0.00,0.00,-,67,-,-,0.0,1
Qoo すっきり白ブドウ(M),425,146,0.3,0.3,35.4,8,16,6,5,0.3,0,0.00,0.00,-,52,-,-,0.0,2
Qoo すっきり白ブドウ(S),275,94,0.2,0.2,22.9,5,11,4,3,0.2,0,0.00,0.00,-,34,-,-,0.0,3
アールグレイ アイスティー(ストレート)(L),495,3,0.0,0.0,0.0,4,26,4,0,0.0,0,0.00,0.00,0.1,0,-,-,0.0,4
アールグレイ アイスティー(ストレート)(M),395,3,0.0,0.0,0.0,3,22,4,0,0.0,0,0.00,0.00,0.1,0,-,-,0.0,5
アールグレイ アイスティー(ストレート)(S),250,2,0.0,0.0,0.0,2,13,2,0,0.0,0,0.00,0.00,0.0,0,-,-,0.0,6
アールグレイ アイスティー(ミルク)(L),500,14,0.2,1.0,0.2,14,26,4,2,0.0,0,0.00,0.00,0.1,0,-,-,0.0,7
アールグレイ アイスティー(ミルク)(M),400,13,0.2,1.0,0.2,13,22,4,2,0.0,0,0.00,0.00,0.1,0,-,-,0.0,8
アールグレイ アイスティー(ミルク)(S),255,12,0.2,1.0,0.2,12,13,2,2,0.0,0,0.00,0.00,0.0,0,-,-,0.0,9
アールグレイ アイスティー(レモン)(L),500,4,0.0,0.0,0.3,4,32,4,1,-,-,0.00,-,0.1,1,-,-,0.0,10
アールグレイ アイスティー(レモン)(M),400,4,0.0,0.0,0.3,3,28,4,1,-,-,0.00,-,0.1,1,-,-,0.0,11
アールグレイ アイスティー(レモン)(S),255,3,0.0,0.0,0.3,2,19,2,1,-,-,0.00,-,0.0,1,-,-,0.0,12
アイスカフェラテ(M),395,104,5.2,5.7,7.8,62,302,167,143,0.0,57,0.06,0.23,1.4,2,-,-,0.2,13
